Date;UltimateCost
08/01/1997;726986.95
02/03/1997;1222682.37
18/03/1997;428543.1
07/04/1997;258786.06
11/04/1997;637117.61
03/06/1997;1769925.16
15/06/1997;702034.03
23/06/1997;1082528.66
19/07/1997;1005364.03
22/07/1997;780910.04
25/07/1997;429970.06
27/07/1997;700445.53
28/07/1997;628999.91
29/08/1997;673680.14
27/09/1997;738011.81
02/10/1997;1008364.26
20/12/1997;842524.6
14/01/1998;820598.68
22/03/1998;599178
28/03/1998;1539449.56
11/04/1998;1026291.62
10/05/1998;1026016.98
24/05/1998;639949.9
31/05/1998;173724.35
16/07/1998;977022.4
18/07/1998;1954063.68
29/07/1998;856293.2
03/08/1998;939845.9
31/08/1998;1449686.6
02/09/1998;1235720.98
06/09/1998;178461.21
19/09/1998;743441.48
19/09/1998;849552.67
20/09/1998;729402.35
10/10/1998;804512.72
21/10/1998;685333.84
05/11/1998;1235188.93
20/11/1998;413059.67
01/12/1998;681696.51
07/12/1998;1036372.51
12/12/1998;751183.31
31/12/1998;1242803.72
25/01/1999;685565.9
28/01/1999;1713874.16
11/02/1999;731195.16
08/02/1999;604511.68
28/02/1999;1863662.87
13/03/1999;2037827.15
23/03/1999;489803.96
08/04/1999;1098702.97
13/04/1999;1474734.47
16/04/1999;1198773.52
18/04/1999;472697.82
23/04/1999;1052736.76
25/04/1999;817170.1
03/05/1999;751339.64
08/05/1999;65457.79
02/06/1999;762708.68
26/06/1999;436465.06
30/06/1999;558044.74
01/07/1999;1069330.3
03/07/1999;928652.56
05/07/1999;1509321.76
12/08/1999;1362721.73
28/08/1999;1201366.12
29/08/1999;887802.04
30/08/1999;560112.38
07/10/1999;899028.44
13/10/1999;1638840.57
16/10/1999;532476.07
14/11/1999;1320903.46
02/12/1999;1384217.93
09/12/1999;1790298.89
25/12/1999;565217.06
27/12/1999;334718.02
07/01/2000;1123487.11
29/01/2000;949551.45
30/01/2000;416913.22
12/02/2000;12655.57
23/02/2000;670994.55
05/07/2000;469352.96
06/07/2000;325991.72
10/07/2000;880724.14
21/08/2000;414588.36
26/08/2000;1546986.82
08/09/2000;545806.51
21/10/2000;878745.42
05/11/2000;592429.19
16/11/2000;201592.01
17/11/2000;370138.1
24/11/2000;1811437.21
12/12/2000;173037.27
